F2V STAR SPECTRUM of HD128167: http://vpl.astro.washington.edu/spectra/stellar/other_stars.htm
       WAVELENGTH        IRRADIANCE
           (m)               (W/m3)
*BEGIN_DATA
      1.1510000e-07      6.6400000e-06
      1.1520000e-07      4.8700000e-06
      1.1540000e-07      3.6700000e-06
      1.1560000e-07      5.5400000e-06
      1.1570000e-07      3.9200000e-06
      1.1590000e-07      3.3700000e-06
      1.1610000e-07      3.2400000e-06
      1.1620000e-07      4.1100000e-06
      1.1640000e-07      1.7700000e-06
      1.1660000e-07      1.8000000e-06
      1.1670000e-07      2.6500000e-06
      1.1690000e-07      2.3500000e-06
      1.1710000e-07      2.6900000e-06
      1.1720000e-07      2.1000000e-06
      1.1740000e-07      2.2700000e-06
      1.1760000e-07      2.2400000e-06
      1.1770000e-07      1.9000000e-06
      1.1790000e-07      1.4900000e-06
      1.1810000e-07      1.5700000e-06
      1.1820000e-07      1.3600000e-06
      1.1840000e-07      1.6300000e-06
      1.1860000e-07      1.5400000e-06
      1.1870000e-07      1.7900000e-06
      1.1890000e-07      1.3700000e-06
      1.1910000e-07      1.3100000e-06
      1.1920000e-07      1.2100000e-06
      1.1940000e-07      7.3300000e-07
      1.1960000e-07      6.9800000e-07
      1.1980000e-07      1.2200000e-06
      1.1990000e-07      9.8700000e-07
      1.2010000e-07      1.1300000e-06
      1.2030000e-07      1.4200000e-06
      1.2040000e-07      1.5800000e-06
      1.2060000e-07      1.6300000e-06
      1.2080000e-07      1.6100000e-06
      1.2090000e-07      3.0600000e-06
      1.2110000e-07      5.3100000e-06
      1.2130000e-07      8.2100000e-06
      1.2140000e-07      9.7500000e-06
      1.2160000e-07      9.9800000e-06
      1.2180000e-07      8.1100000e-06
      1.2190000e-07      5.1900000e-06
      1.2210000e-07      3.5600000e-06
      1.2230000e-07      2.1400000e-06
      1.2240000e-07      1.2200000e-06
      1.2260000e-07      8.5800000e-07
      1.2280000e-07      7.8100000e-07
      1.2290000e-07      9.2800000e-07
      1.2310000e-07      8.2100000e-07
      1.2330000e-07      6.5100000e-07
      1.2340000e-07      8.9300000e-07
      1.2360000e-07      5.8100000e-07
      1.2380000e-07      6.4900000e-07
      1.2390000e-07      7.6000000e-07
      1.2410000e-07      7.0300000e-07
      1.2430000e-07      6.6300000e-07
      1.2440000e-07      7.2100000e-07
      1.2460000e-07      8.2300000e-07
      1.2480000e-07      9.3300000e-07
      1.2490000e-07      8.3800000e-07
      1.2510000e-07      6.1300000e-07
      1.2530000e-07      7.9000000e-07
      1.2550000e-07      4.2400000e-07
      1.2560000e-07      6.4800000e-07
      1.2580000e-07      8.1000000e-07
      1.2600000e-07      6.0300000e-07
      1.2610000e-07      7.9500000e-07
      1.2630000e-07      6.1400000e-07
      1.2650000e-07      6.2300000e-07
      1.2660000e-07      6.5300000e-07
      1.2680000e-07      7.5600000e-07
      1.2700000e-07      5.8400000e-07
      1.2710000e-07      7.3600000e-07
      1.2730000e-07      7.0600000e-07
      1.2750000e-07      6.8800000e-07
      1.2760000e-07      8.5600000e-07
      1.2780000e-07      8.1600000e-07
      1.2800000e-07      7.2000000e-07
      1.2810000e-07      7.7800000e-07
      1.2830000e-07      6.6600000e-07
      1.2850000e-07      7.9500000e-07
      1.2860000e-07      8.0300000e-07
      1.2880000e-07      6.5300000e-07
      1.2900000e-07      7.6500000e-07
      1.2910000e-07      9.4200000e-07
      1.2930000e-07      8.7300000e-07
      1.2950000e-07      8.9200000e-07
      1.2960000e-07      8.3500000e-07
