SOLAR SPECTRUM at 1.0 au from http://depts.washington.edu/naivpl/content/models/solarflux
      WAVELENGTH        IRRADIANCE
          (m)               (W/m3)
*BEGIN_DATA
      5.0000000e-10      1.3152929e+04
      1.5000000e-09      8.7680827e+03
      2.5000000e-09      1.0206349e+05
      3.5000000e-09      6.6492050e+04
      4.5000000e-09      9.1885301e+04
      5.5000000e-09      1.5773564e+05
      6.5000000e-09      1.4012438e+05
      7.5000000e-09      1.4690749e+05
      8.5000000e-09      8.9411242e+04
      9.5000000e-09      1.0021731e+05
      1.0500000e-08      3.4763840e+04
      1.1500000e-08      2.4882212e+04
      1.2500000e-08      1.5570270e+04
      1.3500000e-08      1.5006425e+04
      1.4500000e-08      4.7615984e+04
      1.5500000e-08      5.7359549e+04
      1.6500000e-08      7.7901386e+04
      1.7500000e-08      3.4488748e+05
      1.8500000e-08      1.7196531e+05
      1.9500000e-08      1.7689213e+05
      2.0500000e-08      8.5650430e+04
      2.1500000e-08      6.6110481e+04
      2.2500000e-08      9.2725845e+04
      2.3500000e-08      4.6469206e+04
      2.4500000e-08      1.1662456e+05
      2.5500000e-08      1.9245352e+05
      2.6500000e-08      6.4145435e+04
      2.7500000e-08      1.1264019e+05
      2.8500000e-08      1.6448091e+05
      2.9500000e-08      3.9328015e+04
      3.0500000e-08      8.9315718e+05
      3.1500000e-08      1.6167383e+05
      3.2500000e-08      2.2424611e+05
      3.3500000e-08      2.1995160e+05
      3.4500000e-08      9.3925950e+04
      3.5500000e-08      8.0706870e+04
      3.6500000e-08      1.3415429e+05
      3.7500000e-08      1.7993390e+04
      3.8500000e-08      7.7059080e+03
      3.9500000e-08      7.6500385e+03
      4.0500000e-08      1.2814251e+04
      4.1500000e-08      2.5111831e+04
      4.2500000e-08      6.2035417e+03
      4.3500000e-08      1.4443709e+04
      4.4500000e-08      5.6604122e+03
      4.5500000e-08      6.3259062e+03
      4.6500000e-08      2.2840279e+04
      4.7500000e-08      9.0585538e+03
      4.8500000e-08      1.5066099e+04
      4.9500000e-08      5.3573684e+04
      5.0500000e-08      2.1801049e+04
      5.1500000e-08      7.4619111e+03
      5.2500000e-08      1.3131609e+04
      5.3500000e-08      9.6658835e+03
      5.4500000e-08      6.2226398e+03
      5.5500000e-08      2.7829043e+04
      5.6500000e-08      8.4742804e+03
      5.7500000e-08      8.4323100e+03
      5.8500000e-08      4.7703153e+04
      5.9500000e-08      9.9426226e+03
      6.0500000e-08      4.0845822e+04
      6.1500000e-08      1.2404890e+04
      6.2500000e-08      5.3800952e+04
      6.3500000e-08      1.3601975e+04
      6.4500000e-08      3.0996367e+03
      6.5500000e-08      2.4447588e+03
      6.6500000e-08      2.1644762e+03
      6.7500000e-08      2.2176604e+03
      6.8500000e-08      7.6405450e+03
      6.9500000e-08      5.6604225e+03
      7.0500000e-08      1.4770544e+04
      7.1500000e-08      6.4630341e+03
      7.2500000e-08      4.8730223e+03
      7.3500000e-08      6.3409767e+03
      7.4500000e-08      7.8040415e+03
      7.5500000e-08      1.1867307e+04
      7.6500000e-08      2.9873870e+04
      7.7500000e-08      2.7494419e+04
      7.8500000e-08      3.8263041e+04
      7.9500000e-08      1.7859976e+04
      8.0500000e-08      1.8473080e+04
      8.1500000e-08      2.0963810e+04
      8.2500000e-08      3.0943489e+04
      8.3500000e-08      5.2413138e+04
      8.4500000e-08      3.8330955e+04
      8.5500000e-08      4.2630069e+04
      8.6500000e-08      4.5135797e+04
      8.7500000e-08      5.3654728e+04
