Star spectrum at 1 AU. Created using PrepareStellarSpectrum() 
      WAVELENGTH        IRRADIANCE
          (m)               (W/m3)
*BEGIN_DATA
      4.6188125e-09      7.4669186e+04
      5.5504688e-09      2.6266474e+04
      5.9749063e-09      2.1358357e+04
      6.4699375e-09      2.2141455e+04
      7.0544687e-09      2.2319608e+04
      7.7554375e-09      2.0343593e+04
      8.6118438e-09      1.4680610e+04
      9.6821562e-09      1.1872155e+04
      1.0990709e-08      1.2179603e+04
      1.2007339e-08      2.3590407e+04
      1.2512873e-08      2.4856253e+04
      1.2919348e-08      1.0392080e+04
      1.3339027e-08      3.1038526e+04
      1.3772338e-08      2.8597705e+04
      1.4219726e-08      3.4514193e+04
      1.4681647e-08      1.7886270e+04
      1.5158573e-08      5.7926009e+04
      1.5650992e-08      6.0552307e+04
      1.6159407e-08      6.8731296e+04
      1.6684337e-08      6.2894456e+04
      1.7226320e-08      4.7728666e+05
      1.7785908e-08      5.3179450e+05
      1.8363675e-08      4.9175801e+05
      1.8960210e-08      6.4609323e+05
      1.9576123e-08      4.4868147e+05
      2.0212043e-08      3.6715190e+05
      2.0868622e-08      3.1387987e+05
      2.1546529e-08      2.1836089e+05
      2.2246457e-08      3.7333497e+05
      2.2969122e-08      1.9204979e+05
      2.3715263e-08      1.1659779e+05
      2.4485642e-08      1.4045829e+05
      2.5281046e-08      1.5081103e+05
      2.6102288e-08      2.7276443e+05
      2.6950208e-08      1.4333530e+05
      2.7825672e-08      1.4437308e+05
      2.8729576e-08      3.4673849e+05
      2.9662842e-08      7.6423261e+04
      3.0626425e-08      1.7674906e+05
      3.1621309e-08      8.5545006e+04
      3.2648512e-08      7.7437618e+04
      3.3709083e-08      2.2018923e+05
      3.4804106e-08      7.3383443e+04
      3.5934700e-08      1.2547257e+05
      3.7102021e-08      1.8356299e+05
      3.8307262e-08      5.9931842e+03
      3.9551655e-08      9.8401293e+03
      4.0836471e-08      1.1184078e+04
      4.2163024e-08      2.3511601e+04
      4.3532669e-08      1.6125917e+04
      4.4946806e-08      2.6401462e+04
      4.6406881e-08      1.9811957e+03
      4.7914386e-08      1.5735453e+04
      4.9470861e-08      4.8334559e+03
      5.1077897e-08      3.6737802e+04
      5.2737138e-08      1.7124137e+04
      5.4450278e-08      1.0657029e+03
      5.6219069e-08      1.4576625e+04
      5.8045317e-08      6.2919141e+03
      5.9930891e-08      1.2998029e+03
      6.1877717e-08      2.6727738e+04
      6.3887784e-08      2.0203305e+04
      6.5963147e-08      6.2381270e+02
      6.8105928e-08      1.3489668e+03
      7.0318315e-08      2.0244606e+03
      7.2602571e-08      1.8432108e+03
      7.4961030e-08      4.4582626e+02
      7.7396103e-08      1.3250171e+04
      7.9910277e-08      6.6479342e+03
      8.2506123e-08      2.0670685e+02
      8.5186294e-08      8.7983144e+02
      8.7953529e-08      3.4873927e+02
      9.0810656e-08      3.4929457e+02
      9.3760596e-08      4.3479705e+02
      9.6806363e-08      4.6805672e+02
      9.9951070e-08      1.9091170e+03
      1.0319793e-07      1.0131115e+04
      1.0655027e-07      3.2767309e+03
      1.1000510e-07      9.9123011e+01
      1.1259612e-07      9.3021045e+02
      1.1348738e-07      3.0949348e+04
      1.1356634e-07      2.4998332e+04
      1.1364929e-07      2.8749853e+04
      1.1378883e-07      1.7396495e+04
      1.1397762e-07      1.5137057e+04
      1.1424592e-07      7.6191775e+03
      1.1449886e-07      1.2643946e+04
      1.1471440e-07      1.6568149e+04
      1.1491465e-07      8.7686371e+03
