F2V STAR SPECTRUM of HD128167: http://vpl.astro.washington.edu/spectra/stellar/other_stars.htm
       WAVELENGTH        IRRADIANCE
           (m)               (W/m3)
*BEGIN_DATA
      1.1510000e-07      6.9343986e+07
      1.1520000e-07      5.0859219e+07
      1.1540000e-07      3.8327173e+07
      1.1560000e-07      5.7856278e+07
      1.1570000e-07      4.0938016e+07
      1.1590000e-07      3.5194162e+07
      1.1610000e-07      3.3836523e+07
      1.1620000e-07      4.2922256e+07
      1.1640000e-07      1.8484767e+07
      1.1660000e-07      1.8798069e+07
      1.1670000e-07      2.7674934e+07
      1.1690000e-07      2.4541923e+07
      1.1710000e-07      2.8092669e+07
      1.1720000e-07      2.1931080e+07
      1.1740000e-07      2.3706453e+07
      1.1760000e-07      2.3393152e+07
      1.1770000e-07      1.9842406e+07
      1.1790000e-07      1.5560623e+07
      1.1810000e-07      1.6396093e+07
      1.1820000e-07      1.4202985e+07
      1.1840000e-07      1.7022695e+07
      1.1860000e-07      1.6082792e+07
      1.1870000e-07      1.8693635e+07
      1.1890000e-07      1.4307419e+07
      1.1910000e-07      1.3680817e+07
      1.1920000e-07      1.2636479e+07
      1.1940000e-07      7.6549912e+06
      1.1960000e-07      7.2894732e+06
      1.1980000e-07      1.2740913e+07
      1.1990000e-07      1.0307608e+07
      1.2010000e-07      1.1801010e+07
      1.2030000e-07      1.4829587e+07
      1.2040000e-07      1.6500527e+07
      1.2060000e-07      1.7022695e+07
      1.2080000e-07      1.6813828e+07
      1.2090000e-07      3.1956716e+07
      1.2110000e-07      5.5454302e+07
      1.2130000e-07      8.5740079e+07
      1.2140000e-07      1.0182287e+08
      1.2160000e-07      1.0422485e+08
      1.2180000e-07      8.4695742e+07
      1.2190000e-07      5.4201098e+07
      1.2210000e-07      3.7178402e+07
      1.2230000e-07      2.2348815e+07
      1.2240000e-07      1.2740913e+07
      1.2260000e-07      8.9604127e+06
      1.2280000e-07      8.1562731e+06
      1.2290000e-07      9.6914487e+06
      1.2310000e-07      8.5740079e+06
      1.2330000e-07      6.7986348e+06
      1.2340000e-07      9.3259307e+06
      1.2360000e-07      6.0675988e+06
      1.2380000e-07      6.7777480e+06
      1.2390000e-07      7.9369623e+06
      1.2410000e-07      7.3416901e+06
      1.2430000e-07      6.9239552e+06
      1.2440000e-07      7.5296708e+06
      1.2460000e-07      8.5948947e+06
      1.2480000e-07      9.7436655e+06
      1.2490000e-07      8.7515452e+06
      1.2510000e-07      6.4017867e+06
      1.2530000e-07      8.2502634e+06
      1.2550000e-07      4.4279895e+06
      1.2560000e-07      6.7673047e+06
      1.2580000e-07      8.4591308e+06
      1.2600000e-07      6.2973530e+06
      1.2610000e-07      8.3024803e+06
      1.2630000e-07      6.4122300e+06
      1.2650000e-07      6.5062204e+06
      1.2660000e-07      6.8195215e+06
      1.2680000e-07      7.8951888e+06
      1.2700000e-07      6.0989289e+06
      1.2710000e-07      7.6863214e+06
      1.2730000e-07      7.3730202e+06
      1.2750000e-07      7.1850395e+06
      1.2760000e-07      8.9395259e+06
      1.2780000e-07      8.5217911e+06
      1.2800000e-07      7.5192274e+06
      1.2810000e-07      8.1249429e+06
      1.2830000e-07      6.9552854e+06
      1.2850000e-07      8.3024803e+06
      1.2860000e-07      8.3860272e+06
      1.2880000e-07      6.8195215e+06
      1.2900000e-07      7.9891791e+06
      1.2910000e-07      9.8376559e+06
      1.2930000e-07      9.1170632e+06
      1.2950000e-07      9.3154873e+06
      1.2960000e-07      8.7202151e+06
