SOLAR SPECTRUM at 1.0 au from http://depts.washington.edu/naivpl/content/models/solarflux
      WAVELENGTH        IRRADIANCE
          (m)               (W/m3)
*BEGIN_DATA
      5.0000000e-10      6.6882323e+05
      1.5000000e-09      4.4585487e+05
      2.5000000e-09      1.1921836e+06
      3.5000000e-09      7.6873227e+05
      4.5000000e-09      1.0514390e+06
      5.5000000e-09      1.7864896e+06
      6.5000000e-09      1.5707859e+06
      7.5000000e-09      1.6299709e+06
      8.5000000e-09      9.8188513e+05
      9.5000000e-09      1.0892910e+06
      1.0500000e-08      3.7399136e+05
      1.1500000e-08      2.6494483e+05
      1.2500000e-08      1.6409496e+05
      1.3500000e-08      1.5653410e+05
      1.4500000e-08      4.9160594e+05
      1.5500000e-08      5.8614184e+05
      1.6500000e-08      7.8790673e+05
      1.7500000e-08      3.4525477e+06
      1.8500000e-08      1.7038672e+06
      1.9500000e-08      1.7347466e+06
      2.0500000e-08      8.3136112e+05
      2.1500000e-08      6.3513072e+05
      2.2500000e-08      8.8171094e+05
      2.3500000e-08      4.3734414e+05
      2.4500000e-08      1.0863773e+06
      2.5500000e-08      1.7743904e+06
      2.6500000e-08      5.8535822e+05
      2.7500000e-08      1.0173771e+06
      2.8500000e-08      6.4102411e+06
      2.9500000e-08      3.4798129e+05
      3.0500000e-08      1.3860388e+07
      3.1500000e-08      1.4013895e+06
      3.2500000e-08      1.9238743e+06
      3.3500000e-08      1.8677190e+06
      3.4500000e-08      7.8941002e+05
      3.5500000e-08      6.7136728e+05
      3.6500000e-08      6.0335369e+06
      3.7500000e-08      1.4663172e+05
      3.8500000e-08      6.2154331e+04
      3.9500000e-08      6.1072237e+04
      4.0500000e-08      1.0125257e+05
      4.1500000e-08      1.9639203e+05
      4.2500000e-08      4.8019520e+04
      4.3500000e-08      1.1065969e+05
      4.4500000e-08      4.2923135e+04
      4.5500000e-08      4.7478693e+04
      4.6500000e-08      1.6967195e+05
      4.7500000e-08      6.6603974e+04
      4.8500000e-08      1.0964144e+05
      4.9500000e-08      3.8588514e+05
      5.0500000e-08      1.5542346e+05
      5.1500000e-08      5.2652849e+04
      5.2500000e-08      9.1711200e+04
      5.3500000e-08      6.6815717e+04
      5.4500000e-08      4.2573992e+04
      5.5500000e-08      1.8845194e+05
      5.6500000e-08      5.6798623e+04
      5.7500000e-08      5.5938933e+04
      5.8500000e-08      3.1321844e+05
      5.9500000e-08      6.4615072e+04
      6.0500000e-08      2.6273211e+05
      6.1500000e-08      7.8975259e+04
      6.2500000e-08      3.3901642e+05
      6.3500000e-08      8.4833107e+04
      6.4500000e-08      1.9134047e+04
      6.5500000e-08      1.4937045e+04
      6.6500000e-08      1.3089231e+04
      6.7500000e-08      1.3273608e+04
      6.8500000e-08      4.5263791e+04
      6.9500000e-08      3.3190062e+04
      7.0500000e-08      8.5721223e+04
      7.1500000e-08      3.7124527e+04
      7.2500000e-08      2.7704832e+04
      7.3500000e-08      3.5681731e+04
      7.4500000e-08      4.3465228e+04
      7.5500000e-08      6.5419496e+04
      7.6500000e-08      1.6299683e+05
      7.7500000e-08      1.4847893e+05
      7.8500000e-08      2.0451841e+05
      7.9500000e-08      9.4485772e+04
      8.0500000e-08      9.6729178e+04
      8.1500000e-08      1.0864782e+05
      8.2500000e-08      1.5872771e+05
      8.3500000e-08      2.6610697e+05
      8.4500000e-08      1.9261866e+05
      8.5500000e-08      2.1203004e+05
      8.6500000e-08      2.2219542e+05
      8.7500000e-08      2.6142952e+05
